Symbol,Name in M1,Shares,Market Cap,YTD,1-Year,5-Year,10-Year,Dividend,Expense Ratio,P/E,Cost Basis,Unrealized Gain/Loss,Unrealized Gain/Loss %,Avg Price,Cost Basis,Last Split Factor,Recommend Operation,5-Year Div. Yield,Debt to Equity,EBITDA Margins,Recommend. EBITDA Margins,Recommend. D/E,Recommend. P/E,Last Split Date,Beta Indicator,Recommend. Beta Indicator,Date
VIG,,,N/A,9.19,12.268,75.092,128.51,N/A,N/A,26.142,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
VUG,,,N/A,16.153,46.912,131.499,237.07,1.54,N/A,42.719,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
VT,,,N/A,8.832,19.295,57.357,75.803,N/A,N/A,18.679,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAIR VALUE,N/A,N/A,N/A,2024-08-11
VTI,,,N/A,11.582,24.584,85.72,149.495,2.802,N/A,24.727,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
BND,,,N/A,0.833,1.842,-7.333,-8.2,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-08-11
VGSH,,,N/A,0.481,0.812,-2.945,-4.141,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-08-11
MMM,,,68.21M,35.007,-10.737,-42.749,-20.857,5.21,N/A,48.315,,,,,,1196:1000,buy,4.36,345.812,0.22535999,LOW EBITDA MARGINS,D/E OK,OVERVALUED,2024-04-01,1.0,BETA OK,2024-08-11
Symbol,Name in M1,Shares,Market Cap,YTD,1-Year,5-Year,10-Year,Dividend,Expense Ratio,P/E,Cost Basis,Unrealized Gain/Loss,Unrealized Gain/Loss %,Avg Price,Cost Basis,Last Split Factor,Recommend Operation,5-Year Div. Yield,Debt to Equity,EBITDA Margins,Recommend. EBITDA Margins,Recommend. D/E,Recommend. P/E,Last Split Date,Beta Indicator,Recommend. Beta Indicator,Date
VIG,,,N/A,9.19,12.268,75.092,128.51,N/A,N/A,26.142,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
VUG,,,N/A,16.153,46.912,131.499,237.07,1.54,N/A,42.719,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
VT,,,N/A,8.832,19.295,57.357,75.803,N/A,N/A,18.679,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAIR VALUE,N/A,N/A,N/A,2024-08-11
VTI,,,N/A,11.582,24.584,85.72,149.495,2.802,N/A,24.727,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OVERVALUED,N/A,N/A,N/A,2024-08-11
BND,,,N/A,0.833,1.842,-7.333,-8.2,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-08-11
VGSH,,,N/A,0.481,0.812,-2.945,-4.141,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-08-11
MMM,,,68.21M,35.007,-10.737,-42.749,-20.857,5.21,N/A,48.315,,,,,,1196:1000,buy,4.36,345.812,0.22535999,LOW EBITDA MARGINS,D/E OK,OVERVALUED,2024-04-01,1.0,BETA OK,2024-08-11
